NO_Of_Reviews,No_OF_Hotels
1,186
2,164
3,161
4,138
5,112
6,99
7,106
8,96
9,77
10,273
11,58
12,42
13,47
14,44
15,39
16,32
17,44
18,37
19,24
20,35
21,33
22,25
23,34
24,34
25,32
26,22
27,31
28,14
29,21
30,28
31,19
32,12
33,16
34,24
35,18
36,16
37,18
38,15
39,6
40,18
41,23
42,13
43,9
44,10
45,8
46,12
47,12
48,13
49,9
50,13
51,17
52,8
53,10
54,8
55,10
56,13
57,8
58,12
59,9
60,12
61,8
62,7
63,10
64,9
65,9
66,13
67,9
68,10
69,6
70,7
71,8
72,6
73,2
74,6
75,12
76,8
77,8
78,12
79,5
80,4
81,8
82,7
83,9
84,4
85,9
86,4
87,3
88,8
89,2
90,7
91,6
92,2
93,11
94,8
95,6
96,4
97,2
98,5
99,1
100,7
101,1
102,3
103,7
104,5
105,3
106,4
107,5
108,6
109,6
110,3
111,4
112,5
113,5
114,4
115,1
116,5
117,3
118,3
119,4
120,4
121,2
122,5
123,1
124,4
125,2
126,4
127,4
128,7
129,1
130,3
131,5
132,5
133,3
134,4
135,4
136,2
137,3
138,2
139,3
140,6
141,5
142,3
143,2
144,1
145,1
146,2
147,4
148,1
149,2
150,2
151,3
152,2
153,4
154,5
155,3
156,1
157,3
158,2
159,3
160,2
161,1
162,1
163,2
164,3
165,2
166,3
168,6
169,3
170,2
171,1
173,5
174,1
175,4
176,3
177,2
178,2
179,2
181,1
182,2
183,5
184,2
185,3
186,1
187,1
188,1
189,1
190,1
191,5
192,2
193,2
194,1
195,4
197,1
198,1
199,1
200,2
201,2
203,4
205,1
206,2
207,2
208,3
209,3
210,6
211,1
212,2
213,1
214,2
215,2
217,1
219,1
221,5
224,1
225,1
226,1
227,1
228,2
229,1
230,2
231,1
232,1
233,3
234,2
236,1
238,3
239,1
240,3
241,1
242,1
243,2
244,1
245,1
246,4
247,2
248,1
249,2
250,3
252,2
254,1
255,1
257,1
260,1
262,2
263,1
265,1
267,1
270,1
272,2
276,1
277,1
278,1
279,4
280,2
284,1
285,1
286,1
287,2
289,2
290,1
294,1
297,2
298,1
300,3
301,3
302,1
303,2
311,1
312,2
313,1
314,1
317,2
318,1
321,1
324,1
325,2
326,1
327,1
330,1
333,1
334,1
336,2
338,1
347,1
348,1
349,2
351,2
355,1
356,1
358,1
360,2
362,1
365,4
367,1
368,1
369,2
370,2
372,1
375,2
377,1
378,2
380,1
384,1
385,3
390,1
392,1
393,3
395,1
400,1
403,1
404,1
407,1
409,1
411,1
413,2
417,1
420,1
422,1
428,1
430,1
431,1
434,1
435,1
438,1
443,1
451,1
454,2
462,2
463,2
465,2
471,1
472,1
476,1
480,1
481,1
491,1
492,1
497,1
507,1
509,1
518,1
519,1
521,1
532,1
533,1
539,1
541,1
544,1
547,1
548,1
549,1
557,1
558,1
562,1
565,1
568,1
580,1
583,1
592,1
599,1
600,1
603,1
604,1
606,2
613,1
620,1
628,1
629,1
630,1
635,1
636,1
642,1
654,1
661,2
663,1
664,1
665,1
666,1
681,2
694,1
697,2
702,1
712,1
715,1
724,1
740,1
742,1
744,1
749,1
753,1
754,1
761,1
765,1
778,1
805,1
806,1
818,1
824,1
837,1
854,1
868,1
886,1
892,1
895,1
919,1
922,1
933,1
943,2
951,1
957,1
970,1
992,1
993,1
994,1
1010,1
1031,1
1070,1
1087,1
1095,1
1097,1
1143,1
1158,1
1164,1
1227,1
1320,1
1510,1
1542,1
1605,1
1686,1
1798,1
1801,1
2335,1
2356,1
2807,1
2884,1
